Text | Page
1_1._My_Area_—_User_account_and_roles | 5
2_Getting_access_to_My_Area | 5
3_1.1_EU_Login | 5
4_1.2_Roles_and_access_rights | 6
5_How_are_access_rights_managed? | 7
6_How_are_the_roles_assigned? | 7
7_Exceptions | 7
8_Roles_—_Overview | 8
9_Organisation_roles | 8
10_Legal_Entity_Appointed_Representative_(LEAR) | 8
11_Self-registrant | 9
12_Account_Administrator | 9
13_Legal_Signatory_(LSIGN) | 9
14_Financial_Signatory_(FSIGN) | 9
15_Proposal_roles | 10
16_For_tenders: | 11
17_Project/contract_roles | 11
18_(Primary)_Coordinator_Contact_(PCoCo/CoCo) | 11
19_Participant_Contact_(PaCo) | 12
20_Task_Manager_(TaMa) | 12
21_Team_Member_(TeMe) | 12
22_Project_Legal_Signatory_(PLSIGN) | 12
23_Project_Financial_Signatory_(PFSIGN) | 13
24_Rights_associated_with_roles | 13
25_Nomination_process | 14
26_How_to_nominate/revoke_someone | 14
27_1.5_Accepting_the_Terms_and_Conditions_of_Use | 15
28_2._Participant_Register_—_Register_your_organisation | 15
29_2.1_Registration_and_validation_of_your_organisation | 16
30_What_you_need_to_register_your_organisation | 16
31_U_cet_ready | 16
32_©_check_for_already_existing_PIC | 17
33_PIC_number | 17
34_Validation_of_your_organisation | 17
35_Data_updates | 18
36_SME_self-assessment | 18
37_2.2_LEAR_appointment_and_validation | 19
38_7_Activate_the_LEAR's_online_user_account | 21
39_Data_updates_—_Changing_the_LEAR | 21
40_How_can_you_contact_the_LEAR? | 21
41_2.5_Bank_account_registration_and_validation | 21
42_Data_updates | 22
43_2.4_Financial_capacity_assessment | 22
44_2.5_Data_updates | 23
45_Who_can_update_the_online_information_about_your_organisation? | 23
46_Changes_of_legal_status | 23
47_Managing_roles_in_the_organisation | 23
48_2.6_Complaints_about_validation | 24
49_5._Grants | 24
50_3.1_Applying_for_funding | 24
51_Humanitarian_Aid_(HA) | 25
52_Information_Measures_Common_Agricultural_Policy_(IMCAP) | 25
53_Renewable_Energy_Financing_Mechanism | 25
54_Technical_Support_(TSI) | 25
55_MFF_2014-2020 | 25
56_Deadline_models | 26
57_Types_of_action | 27
58_Technology_readiness_levels_(TRL) | 27
59_3.1.2_Projects_that_can_be_funded_—_Conditions_for_funding | 28
60_3.1.3_Apply_with_partners_or_as_individual | 28
61_Who_can_apply? | 28
62_Multi-participant_or_mono-participant_actions | 29
63_Portal_Partner_Search_NF | 29
64_Consortium_roles_and_responsibilities | 29
65_Beneficiaries_—_Affiliated_Entities_—_Associated_Partners_—_Subcontractors | 30
66_Coordinator_—_Other_Beneficiaries | 30
67_3.1.4_Submit_a_proposal_—_Portal_Submission_System | 30
68_Submission_process | 30
69_Confidentiality | 31
70_Security,_data_protection_and_document_retention | 31
71_Access_to_proposals | 32
72_5.1.4.1_Get_prepared | 32
73_WY_Study_the_call_documentation | 32
74_Work_packages | 33
75_1._Distinguish_between_milestones_and_deliverables: | 33
76_Budget | 34
77_Annexes_&_supporting_documents | 34
78_Detailed_budget_table_(if_required) | 34
79_CVs_(if_required) | 34
80_3.1.4.2_Electronic_proposal_submission | 35
81_Natailad_avnianatinncec_area_availabla_in_tha_@)_row_TO | 36
82_Tips | 36
83_Affiliated_entities | 36
84_Checklist_for_submission | 37
85_Mock_evaluation | 37
86_Multiple_versions_of_proposal | 37
87_Multiple_proposals | 37
88_Specific_submission_schemes | 37
89_After_submission | 37
90_Withdrawal_of_submitted_proposals | 38
91_After_the_call_deadline | 38
92_5.1.5_Complaints_about_failed_submission | 38
93_3.2_Selection_—_From_evaluation_to_grant_signature | 38
94_Admissibility_criteria | 39
95_Eligibility_criteria | 39
96_Outcome_of_the_admissibility_and_eligibility_check | 39
97_4.2.2_Evaluation | 39
98_Award_criteria,_scores_thresholds_and_weighting | 40
99_5.2.2.2_Evaluation_and_evaluation_results | 40
100_Briefing | 40
101_Individual_evaluation | 40
102_Consensus_group | 41
103_Panel_review | 41
104_Proposals_with_the_same_score | 41
105_Interviews/hearings | 41
106_Final_ranking_—_Reserve_list_—_Rejections | 42
107_Evaluation_result_letters_—_Evaluation_summary_report | 42
108_3.2.5_Special_procedures:_Ethics_review,_security_scrutiny,_Ownership_control_check | 43
109_Ethics_review | 43
110_RTS_PO | 43
111_Security_scrutiny | 43
112_[No_text_extracted] | 44
113_RTS_pO | 44
114_3.2.4_Grant_preparation | 44
115_Grant_preparation_process | 45
116_Signing_the_Grant_Agreement | 45
117_Termination_of_grant_preparation | 46
118_TTS_pO | 46
119_5.2.4.1_Enter_&_submit_grant_data | 46
120_©_Organise_access_rights_and_roles | 46
121_Enter_legal,_administrative_&_financial_data | 48
122_Nataile_ara_ayniained_in_tha_@)_row_TO | 48
123_&_Enter_the_other_grant_data_into_the_system | 48
124_a)_Set_the_project_starting_date | 48
125_c)_Check_the_prefinancing_for_the_project | 48
126_&_Upload_Part_B_of_the_description_of_the_action_(DoA) | 49
