Text | Page
1_1._Introduction | 6
2_2._Legal_entity_validation | 6
3_2.1._Legal_entity_validation_and_specific_legal_statuses:_Criteria_and_conditions | 6
4_2.1.1_Legal_entity_validation | 7
5_Specific_cases | 7
6_2.1.2_Exception:_Validation_of_private_entities_without_legal_personality | 7
7_and | 8
8_2.1.3_Exception:_Validation_of_ministries,_specialised_entities_of_IOs_and_certain_EU_bodies | 8
9_2.1.4_Specific_legal_statuses | 9
10_Private_entity_or_public_body | 9
11_Non-profit | 10
12_Specific_cases | 11
13_Small_or_medium_sized_enterprise_(SME) | 11
14_and | 11
15_Specific_cases | 12
16_Middle-capitalisation_enterprise_(Mid-cap) | 12
17_Non-governmental_organisation_(NGO) | 13
18_Civil_society_organisation_(CSO) | 13
19_International_organisation_(IO) | 13
20_Specific_cases | 13
21_Research_organisation | 14
22_Secondary_or_higher_education_establishment | 14
23_2.2_Documents_and_information_to_provide | 14
24_2.2.1_General_requirements_and_principles | 14
25_2.2.2_List_of_documents_and_information | 15
26_2.2.3_Incomplete_or_contradictory_information | 17
27_2.3_Validation_and_effective_date | 18
28_2.4_Modification_of_validations | 18
29_2.4.1_Validation_updates | 18
30_2.4.2_Corrections_of_validations | 19
31_2.5_Ex-post_verifications_carried_out_by_the_EU_—_Irregularities_and/or_false_declarations | 19
32_3._Validation_of_the_LEAR_appointment | 20
33_3.1_Validation_of_the_LEAR_appointment:_General_requirements_and_principles | 20
34_3.1.1_Role_of_the_LEAR | 20
35_3.1.2_Position_of_the_LEAR | 20
36_3.1.3_Legal_representative | 21
37_3.1.4_Timing_of_the_LEAR_appointment | 21
38_3.2_List_of_documents_and_information | 21
39_Proof_of_identity | 22
40_Specific_cases | 22
41_“_Print-outs_from_the_ID_electronic_chip_—_Cannot_be_accepted_either. | 22
42_Signatures | 22
43_Specific_cases | 23
44_Documents_proving_the_empowerment_of_the_legal_representative | 23
45_3.3_LEAR_replacement | 25
46_3.4_Ex-post_verifications_carried_out_by_the_EU_—_Irregularities_and/or_false_declarations | 25
47_4._Financial_capacity_assessment | 25
48_4.1_Financial_capacity_assessment:_Criteria_and_conditions | 25
49_4.2_Documents_and_information_to_provide | 26
50_4.2.1_General_requirements_and_principles | 26
51_4.2.2_List_of_documents_and_information | 27
52_and | 29
53_4.2.3_Incomplete_or_contradictory_information | 30
54_4.3_Duration_of_validity_and_renewal | 31
55_4.4_Modification_of_the_assessment | 31
56_4.5_Ex-post_verifications_carried_out_by_the_EU_—_Irregularities_and/or_false_declarations | 31
57_5._Ownership_control_assessment | 31
58_5.1_Ownership_control_assessment:_Criteria_and_conditions | 31
59_5.2_Documents_and_information_to_provide | 32
60_5.2.1_General_requirements_and_principles | 32
61_5.2.2_List_of_documents_and_information | 33
62_5.2.3_Incomplete_or_contradictory_information | 34
63_5.3_Duration_of_validity_and_renewal | 34
64_5.4_Modification_of_the_assessment | 34
